        609 function calls (598 primitive calls) in 2.823 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    2.782    1.391 {built-in method builtins.exec}
        1    0.309    0.309    2.586    2.586 /tmp/ipykernel_35391/3201468207.py:6(run_profile_target)
       10    2.278    0.228    2.278    0.228 /tmp/ipykernel_35391/3890645800.py:1(conv2d_int8_reference)
        2    0.195    0.097    0.195    0.097 {built-in method time.sleep}
        3    0.000    0.000    0.040    0.013 /usr/lib/python3.12/asyncio/base_events.py:1922(_run_once)
      4/2    0.000    0.000    0.035    0.017 {method 'run' of '_contextvars.Context' objects}
        1    0.002    0.002    0.035    0.035 /usr/local/lib/python3.12/dist-packages/tornado/platform/asyncio.py:206(_handle_events)
        2    0.000    0.000    0.032    0.016 /usr/local/lib/python3.12/dist-packages/zmq/eventloop/zmqstream.py:574(_handle_events)
        2    0.000    0.000    0.032    0.016 /usr/local/lib/python3.12/dist-packages/zmq/eventloop/zmqstream.py:615(_handle_recv)
        2    0.000    0.000    0.032    0.016 /usr/local/lib/python3.12/dist-packages/zmq/eventloop/zmqstream.py:547(_run_callback)
        2    0.000    0.000    0.032    0.016 /usr/local/lib/python3.12/dist-packages/ipykernel/iostream.py:107(_handle_event)
        2    0.006    0.003    0.032    0.016 /usr/local/lib/python3.12/dist-packages/ipykernel/iostream.py:219(<lambda>)
        2    0.000    0.000    0.021    0.010 /usr/local/lib/python3.12/dist-packages/ipykernel/iostream.py:221(_really_send)
        2    0.000    0.000    0.021    0.010 /usr/local/lib/python3.12/dist-packages/zmq/sugar/socket.py:709(send_multipart)
       14    0.021    0.001    0.021    0.001 /usr/local/lib/python3.12/dist-packages/zmq/sugar/socket.py:632(send)
      5/3    0.006    0.001    0.011    0.004 /usr/lib/python3.12/asyncio/events.py:86(_run)
        1    0.000    0.000    0.005    0.005 /usr/local/lib/python3.12/dist-packages/ipykernel/kernelbase.py:277(poll_control_queue)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.12/concurrent/futures/_base.py:537(set_result)
