metric,value
tool_openlane_version,2.3.1
tool_pdk,sky130A
tool_std_cell_library,sky130_fd_sc_hd
design_top_module,conv2d_top
design_instance_count_total,24346
design_instance_count_sequential,390
design_instance_count_combinational,23956
design_instance_area_um2,254510.35
design_sequential_area_um2,8295.46
design_sequential_pct,3.26
design_wire_count,24324
design_port_count,21
design_die_area_um2,810000
design_die_bbox,0 0 900 900
clock_port,clk
clock_period_ns,10.0
clock_target_mhz,100
clock_achieved_mhz,80.40
clock_min_period_ns,12.44
clock_skew_rise_ns,0.277
clock_skew_fall_ns,0.245
timing_setup_wns_nom_tt_025C_1v80,0.0
timing_setup_tns_nom_tt_025C_1v80,0.0
timing_hold_wns_nom_tt_025C_1v80,0.0
timing_setup_violations_nom_tt,0
timing_setup_violations_nom_ss,19
timing_setup_violations_nom_ff,0
power_internal_W,0.016108
power_switching_W,0.023677
power_leakage_W,0.000000289
power_total_W,0.039785
ir_drop_avg_V,0.0000137
ir_drop_worst_V,0.000720
ir_drop_pct,0.04
drc_errors,0
lvs_errors,0
antenna_violations,49
flow_errors,0
flow_warnings,7
flow_stages_completed,97
